element,radii,ionization_energy,electron_affinity,group,

H,53,1312,72.8,1
He,31,2372.3,18
Li,167,520.2,59.6,1
Be,112,899.5,2
B,87,800.6,26.7,13
C,67,1086.5,121.8,14
N,56,1402.3	,15
O,48,1313.9,141,16
F,42,1681,328,17
Ne,38,2080.7,18
Na,190,495.8,52.8,1
Mg,145,737.7,2
Al,118,577.5,42.5,13
Si,111,786.5,133.6,14
P,98,1011.8,72,15
S,88,999.6,200,16
Cl,79,1251.2,349,17
Ar,71,1520.6,18
K,243,418.8,48.4,1
Ca,194,589.8,2.37,2
Sc,184,633.1,3
Ti,176,658.8,0,4
V,171,650.9	50.6,5
Cr,166,652.9,64.3,6
Mn,161,717.3,0,7
Fe,156,762.5,15.7,8
Co,152,760.4,63.7,9
Ni,149,737.1,111.6,10
Cu,145,745.5,118.4,11
Zn,142,906.4,0,12
Ga,136,578.8,0,41,13
Ge,125,62,118.9,14
As,114,947,78,15
Se,103,941,195,16
Br,94,1139.9,324.6,17
Kr,88,1350.8,0,18
Rb,265,403,46.9,1
Sr,219,549.5,5,2
Y,212,0,0,3
Zr,206,60.1,41.1,4
Nb,198,65.1,88,5
Mo,190,684.3,72.1,6
Tc,183,702,7,
Ru,178,710.2,101.3,8,
Rh,173,719.7,110,9,
Pd,169,804.4,10,
Ag,165,731,125.6,11,
Cd,161,867.8,0,12
In,156,558.3,28.9,13
Sn,145,708.6,107.3,14
Sb,133,834,103.2,15
Te,123,869.3,190.2,16
I,15,1008.4,295.2,17
Xe,08,1170.4,18
Cs,298,375.7,45.5,1
Ba,253,502.9,13.9,2
La,226,538.1,48,3
Ce,210,534.4,50,3
Pr,247,527,50,3
Nd,206,533.1,50,3
Pm,205,540,0,3
Sm,238,544.5,50,3
Eu,231,547.1,0,3
Gd,233,593.4,0,3
Tb,225,565.8,0,3
Dy,228,573,0,3
Ho,226,581,0,3
Er,226,589.3,0,3
Tm,222,596.7,0,3
Yb,222,603.4,0,3
Lu,217,523.5,3
Hf,208,658.5,0,4
Ta,200,761,31,5
W,193,70,78.6,6
Re,188,760,14.5,7
Os,185,840,103,8
Ir,180,880,151,9
Pt,177,870,205.3,10
Au,174,890.1,222.8,11
Hg,171,1007.1,0,12
Tl,156,589.4,36,13
Pb,154,715.6,35.1,14
Bi,143,703,91.2,15
Po,135,812.1,183.3,16
At,127,920,270,17
Rn,120,1037,18
Fr,348,380,46.9,1
Ra,283,509.3,9.6,2
Ac,260,499,0,3
Th,240,587,112.7,3
Pa,243,568,53,3,
U,40,497.6,50,3,
Np,21,604.5,45,3,
Pu,243,584.7,0,3,
Am,244,578,0,3,
Cm,245,581,0,3,
Bk,244,601,0,3,
Cf,245,608,0,3,
Es,245,619,0,3,
Fm,245,627,0,3,
Md,246,635,0,3,
No,246,642,0,3,
Lr,246,470,0,3,
Rf,200,0,0,4,
Db,200,0,0,5,
Sg,200,0,0,6,
Bh,200,0,0,7,
Hs,200,0,0,8,
Mt,200,0,0,9,
Ds,200,0,0,10,
Rg,200,0,0,11,
Cn,200,0,0,12,
Nh,200,0,0,13,
Fl,200,0,0,14,
Mc,200,0,0,15,
Lv,200,0,0,16,
Ts,200,0,0,17,
Og,200,0,0,18,
